gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
100264,2022,JPN,2600,227058,72029,283,12.317,-571,-0.002514775960327317,3485.7110000000002,0.048393161087895153,-0.002514775960327317,0.048393161087895153,0,26
100272,2022,JPN,2670,337166,237872,1858,18.835,18375,0.05449837765373733,34995.43,0.1471187445348759,0.05449837765373733,0.1471187445348759,0,26
100276,2022,JPN,3310,2874751,913957,642,137.024,72566,0.0252425340490359,87969.408,0.09625114529458169,0.0252425340490359,0.09625114529458169,0,33
100282,2022,MYS,2911,4764.258,2216.639,4.33,10.838,300.589,0.06309251094294221,46.92854,0.021171034164787318,0.06309251094294221,0.021171034164787318,1,29
100288,2022,JPN,3790,2457725,576203,3090,116.015,53029,0.021576457903142134,358486.35,0.6221528697351454,0.021576457903142134,0.6221528697351454,0,37
100290,2022,JPN,2834,882437,741868,3083,59.135,112723,0.12774056391561098,182313.205,0.2457488461559199,0.12774056391561098,0.2457488461559199,0,28
100296,2022,SGP,9997,29303.2,7139.8,28.6,6.125,739.8,0.025246389472822078,175.175,0.024535000980419622,0.025246389472822078,0.024535000980419622,1,99
100302,2022,JPN,4911,8774425,1788782,1279,221.291,17679,0.0020148328807870603,283031.189,0.15822564683678617,0.0020148328807870603,0.15822564683678617,0,49
100306,2022,JPN,2800,782640,417996,3290,20.686,23008,0.029397935193703362,68056.94,0.1628172039923827,0.029397935193703362,0.1628172039923827,0,28
100308,2022,SGP,3270,607.351,464.563,0.83,5.045,10.697,0.017612550238659357,4.1873499999999995,0.009013524538114314,0.017612550238659357,0.009013524538114314,1,32
100333,2022,SGP,5000,80.743,58.994,0.29,2.952,-1.336,-0.016546325997300076,0.85608,0.014511306234532324,-0.016546325997300076,0.014511306234532324,1,50
100336,2022,JPN,2834,2508889,1445855,4250,73.067,109188,0.04352045865719847,310534.74999999994,0.21477585926666223,0.04352045865719847,0.21477585926666223,0,28
100340,2022,SGP,2020,4980.889,3069.537,1.27,7.624,124.867,0.025069219571044448,9.68248,0.003154378005542856,0.025069219571044448,0.003154378005542856,1,20
100362,2022,JPN,3590,1941964,431245,3845,85.781,44545,0.022938118317332352,329827.945,0.7648272907511972,0.022938118317332352,0.7648272907511972,0,35
