costat,curcd,datafmt,indfmt,consol,gvkey,fyear,conm,sic,at,seq,ni,csho,prcc_f
A,USD,STD,INDL,C,001393,2023,U-HAUL HOLDING CO,7510,19058.7580,7172.4450,628.7070,196.0780,67.540000000000
A,USD,STD,INDL,C,001397,2023,AMERICAN BILTRITE INC,2670,117.7380,24.9930,-2.6410,0.0320,95.010000000000
A,USD,STD,INDL,C,001410,2023,ABM INDUSTRIES INC,7340,4933.7000,1799.9000,251.3000,62.8470,39.340000000000
A,USD,STD,INDL,C,001414,2023,PRIMERICA INC,6311,15027.7320,2065.9670,576.6010,34.9960,205.760000000000
A,USD,STD,INDL,C,001417,2023,INVESCO BOND FUND,6726,,,,11.4160,14.880000000000
A,USD,STD,INDL,C,001440,2023,AMERICAN ELECTRIC POWER CO,4911,96684.0000,25289.2000,2208.1000,526.1850,81.220000000000
A,USD,STD,INDL,C,001447,2023,AMERICAN EXPRESS CO,6141,261108.0000,28057.0000,8374.0000,723.0000,187.340000000000
A,USD,STD,INDL,C,001449,2023,AFLAC INC,6321,126724.0000,21985.0000,4659.0000,578.4790,82.500000000000
A,USD,STD,INDL,C,001487,2023,AMERICAN INTERNATIONAL GROUP,6331,539306.0000,45351.0000,3643.0000,688.8400,67.750000000000
A,USD,STD,INDL,C,001507,2023,VANECK EMG MKTS HIGH YLD BD,6722,,,,19.5000,18.510000000000
A,USD,STD,INDL,C,001545,2023,AMERICAN REALTY INVESTORS,6513,1023.4840,617.0030,3.9680,16.1520,17.410000000000
A,USD,STD,INDL,C,001559,2023,AMERICAN SHARED HSPTL SERV,8090,48.1620,22.6240,0.6100,6.3000,2.379400000000
I,USD,STD,INDL,C,001562,2023,LOGILITY SPPLY CHAIN SOL INC,7372,192.4440,130.4810,11.3730,33.2200,10.110000000000
A,USD,STD,INDL,C,001585,2023,AMERICAN VANGUARD CORP,2870,767.5480,370.0100,7.5190,28.7620,10.970000000000
A,USD,STD,INDL,C,001598,2023,AMETEK INC,3823,15023.5330,8730.1910,1313.1880,230.9300,164.890000000000
A,USD,STD,INDL,C,001602,2023,AMGEN INC,2836,97154.0000,6232.0000,6717.0000,535.4000,288.020000000000
A,USD,STD,INDL,C,001613,2023,AMPCO-PITTSBURGH CORP,3312,565.6540,60.9390,-39.9280,19.7290,2.730000000000
A,USD,STD,INDL,C,001618,2023,AMREP CORP,6552,122.8300,118.0500,6.6900,5.2710,20.284000000000
A,USD,STD,INDL,C,001632,2023,ANALOG DEVICES INC,3674,48794.4780,35565.1220,3314.5790,496.2620,157.330000000000
A,USD,STD,INDL,C,001659,2023,ANDERSONS INC,5150,3855.0070,1282.8990,101.1900,33.7940,57.540000000000
A,USD,STD,INDL,C,001661,2023,NABORS INDUSTRIES LTD,1381,5277.9650,326.6140,-11.7840,9.3950,81.630000000000
A,USD,STD,INDL,C,001678,2023,APA CORP,1311,15244.0000,2655.0000,2855.0000,303.5760,35.880000000000
A,USD,STD,INDL,C,001686,2023,APOGEE ENTERPRISES INC,3442,884.0640,471.0250,99.6130,22.0890,57.210000000000
